Inoculation,Organization,Clade,Strain,Replicate,Label,Root_DM,Shoot_DM,Total_DM,R_S_Ratio,MR_Root_DM,MR_Shoot_DM,MR_Total_DM,MR_R_S_Ratio,Bulk_Mycorrhizal_C1,Bulk_Mycorrhizal_C2,BulkMAOM_Mycorrhizal_C1,BulkMAOM_Mycorrhizal_C2,Inc_Mycorrhizal_C1,Inc_Mycorrhizal_C2,IncMAOM_Mycorrhizal_C1,IncMAOM_Mycorrhizal_C2,Bulk_SOC,Bulk_MAOC,Inc_SOC,Inc_MAOC,Incubation_effect_C1,Incubation_effect_C1_MAOM,N_Conc,S_Conc ,P_Conc,K_Conc,Mg_Conc,B_Conc, Zn_Conc ,Mn_Conc ,Fe_Conc ,Cu_Conc ,Al_Conc ,% Hyphae,% Vesicles,% Arbuscules
AMF,Homokaryon,V,C2,2,C2_2,9.033282032,5.8,14.83328203,1.557462419,1.319726457,0.285714286,1.60544074,0.162017472,0.043255464,5.925406,0.013529981,0.920809192,0.068801039,11.661193,0.127427183,6.742179,7.341916197,14.69357749,5.866297445,18.91665852,0.025545575,0.113897202,8.4,0.9,1.3,31.2,1.6,10.81,32,534,101,5.11,52,36,2,6
AMF,Homokaryon,V,C2,3,C2_3,6.937948718,6.3,13.23794872,1.101261701,-0.775606857,0.785714286,0.01010743,-0.294183246,0.028970703,3.408318,0.167664023,11.5630361,0.098519988,24.629997,0.144172251,6.241223,8.485382225,14.5,4.046399828,23.12597425,0.069549285,-0.023491772,6.7,0.7,0.8,29.6,1.4,9.08,52,396,96,4.82,77,51.25,17.5,11.25
AMF,Homokaryon,V,C2,4,C2_4,8.406269592,4.95,13.35626959,1.698236281,0.692714017,-0.564285714,0.1284283,0.302791334,0.153351379,31.948204,0.087039883,12.43426901,0.195439971,15.761288,0.119397085,5.080727,4.790376492,7,12.35007059,23.46119324,0.042088592,0.032357202,9.8,1,1,34,1.8,11.22,59,562,119,5.86,70,56.57894737,18.42105263,34.21052632
AMF,Homokaryon,V,C2,5,C2_5,12.285202,4.2,16.485202,2.925048095,4.571646425,-1.314285714,3.25736071,1.529603148,0.084777293,13.673757,0.020946582,1.076884731,0.043825134,10.689057,0.068174365,3.003276,6.201056177,19.45108999,4.066222611,22.65960803,-0.040952159,0.047227783,9,1.1,1.4,39.2,1.7,10.37,25,542,74,5.3,59,51.92307692,15.38461538,17.30769231
AMF,Homokaryon,V,C2,6,C2_6,12.35116279,4.8,17.15116279,2.573158915,4.637607215,-0.714285714,3.9233215,1.177713968,0.226208132,34.801251,0.012918166,5.578719682,0.231741522,32.639651,0.105479451,13.69863,6.489066275,2.315614832,7.089476604,7.681892685,0.00553339,0.092561285,7.7,0.7,1.1,23.8,2.1,15.55,24,760,74,6.36,51,48,2,15
AMF,Homokaryon,V,C2,7,C2_7,11.82443709,3.8,15.62443709,3.11169397,4.110881515,-1.714285714,2.3965958,1.716249023,0.011429249,1.377018,0.062963863,7.074591348,0.018427713,6.142571,0.067085952,2.620545,8.324400139,8.9,3.037737297,25.60715813,0.006998464,0.004122089,12.7,1,1.2,26.7,2.6,13.83,33,620,133,6.02,64,54,9,34
Control,Control,Control,Control,1,FC_1,7.59244898,5.36,12.95244898,1.416501675,-0.121106595,-0.154285714,-0.27539231,0.021056728,0.191630148,23.658043,0.063060951,10.87257778,0.031629835,4.584034,0.05724622,2.713091,8.110813296,5.8,6.865870117,21.0838749,-0.160000313,-0.005814731,15.5,0.9,0.7,27.2,1.7,8.58,45,432,127,5.36,68,0,0,0
Control,Control,Control,Control,2,FC_2,11.27222222,6.89,18.16222222,1.636026447,3.558666645,1.375714286,4.93438093,0.2405815,0.039398803,4.528598,0.065349905,19.80300165,0.138462608,30.100567,0.248879131,9.876156,8.656681758,3.3,4.597770911,25.23042678,0.099063805,0.183529226,11.1,0.8,0.6,28.7,1.6,9.62,67,241,110,6.04,68,0,0,0
Control,Control,Control,Control,3,FC_3,6.76349953,4.9,11.66349953,1.380306026,-0.950056045,-0.614285714,-1.56434176,-0.015138921,0.103372886,18.135594,0.086148,18.43644945,0,0,0.205968694,7.743184,5.676210915,27.8,13.43610882,26.56014436,-0.103372886,-0.306564601,13.3,0.8,0.6,25.7,1.5,19.84,30,383,125,5.45,69,0,0,0
Control,Control,Control,Control,4,FC_4,6.900546946,5.4,12.30054695,1.277879064,-0.813008629,-0.114285714,-0.92729434,-0.117565883,0.160047115,28.579842,0.039585067,8.488704669,0.167870566,30.521921,0.237402494,11.358971,5.632611626,4.663263517,5.466133057,20.92363615,0.007823451,0.197817427,12.4,0.9,0.7,23.8,1.8,12.32,33,395,98,5.51,47,0,0,0
