Inoculation,Organization,Clade,Strain,Replicate,Label,Root_DM,Shoot_DM,Total_DM,R_S_Ratio,MR_Root_DM,MR_Shoot_DM,MR_Total_DM,MR_R_S_Ratio,Bulk_Mycorrhizal_C1,Bulk_Mycorrhizal_C2,BulkMAOM_Mycorrhizal_C1,BulkMAOM_Mycorrhizal_C2,Inc_Mycorrhizal_C1,Inc_Mycorrhizal_C2,IncMAOM_Mycorrhizal_C1,IncMAOM_Mycorrhizal_C2,Bulk_SOC,Bulk_MAOC,Inc_SOC,Inc_MAOC,Incubation_effect_C1,Incubation_effect_C1_MAOM,N_Conc,S_Conc ,P_Conc,K_Conc,Mg_Conc,B_Conc, Zn_Conc ,Mn_Conc ,Fe_Conc ,Cu_Conc ,Al_Conc ,% Hyphae,% Vesicles,% Arbuscules
AMF,Homokaryon,II,330,1,330_1,8.171452328,5.6,13.77145233,1.459187916,0.457896753,0.085714286,0.54361104,0.063742969,0.113952968,21.50056,0.046330342,8.680424239,0.062914065,7.672447,0.215985282,8.150388,5.31416661,5.337336124,8.151292653,26.51611848,-0.051038903,0.16965494,9.5,0.7,1,23.4,1.8,13.83,25,659,86,5.25,47,50,13,27
AMF,Homokaryon,II,330,2,330_2,7.628422713,6.55,14.17842271,1.164644689,-0.085132862,1.035714286,0.95058142,-0.230800258,0.20925034,31.704597,0.040496097,17.60699866,0.150632442,24.693843,0.21246697,10.570496,6.566335298,2.3,6.136589896,20.09376879,-0.058617898,0.171970873,6.5,0.6,0.8,25.3,1.3,9.02,25,455,71,3.85,41,37.03703704,1.851851852,1.851851852
AMF,Homokaryon,II,330,3,330_3,5.830827068,7.3,13.13082707,0.798743434,-1.882728507,1.785714286,-0.09701422,-0.596701513,0.157517154,26.252859,0.032290898,6.772383496,0.029647423,4.561142,0.112921445,6.452654,6.036745465,4.768025652,6.454800838,17.45579529,-0.127869731,0.080630547,7.3,0.7,0.8,30.3,1.3,13.43,47,466,105,5.88,75,58.62068966,18.3908046,40.22988506
AMF,Homokaryon,II,330,4,330_4,6.83677686,5.1,11.93677686,1.340544482,-0.876778715,-0.414285714,-1.29106443,-0.054900465,0.126253634,30.060389,0.115184914,7.468931879,0.086692728,34.677091,0.063900408,2.904564,4.168997564,15.42187238,2.523080465,22.04154249,-0.039560906,-0.051284506,9.5,0.8,1.1,28.3,1.8,16.46,27,531,87,5.34,56,67.1875,1.5625,43.75
AMF,Homokaryon,II,330,5,330_5,10.37050905,5,15.37050905,2.074101809,2.656953475,-0.514285714,2.14266776,0.678656862,0.10378371,12.65655,0.097806296,5.622758739,0.030938019,8.839434,0.129120118,7.094512,8.21170165,17.39471683,3.518375662,18.19114807,-0.072845691,0.031313822,9.5,0.9,1.2,32.5,1.8,11.94,74,400,100,5.88,41,59,8,30
AMF,Homokaryon,II,330,6,330_6,9.639447732,5,14.63944773,1.927889546,1.925892157,-0.514285714,1.41160644,0.532444599,0.174721013,37.982829,0.492926993,29.8743632,0.555861335,132.347937,0.306014236,16.813969,4.583470059,16.5,4.208266965,18.19338852,0.381140322,-0.186912757,7.7,0.7,0.9,27.3,1.5,14.05,29,533,95,5.41,72,32.53012048,3.614457831,4.819277108
AMF,Homokaryon,II,330,7,330_7,7.146122103,7.3,14.4461221,0.978920836,-0.567433472,1.785714286,1.21828081,-0.416524111,0.471716468,82.757275,0.292110218,14.24927891,1.220270175,97.621614,0.897466217,35.472973,5.690710052,20.5,12.47540329,25.31103658,0.748553707,0.605355999,9.5,1,1.1,26.9,2.6,24.68,32,638,93,5.22,193,85,5,53.75
AMF,Homokaryon,I,414,1,414_1,9.200568182,4.4,13.60056818,2.091038223,1.487012607,-1.114285714,0.37272689,0.695593276,0.192631289,39.312508,0.055088067,14.88866685,0.21347472,35.57912,0.17531664,7.7232,4.869314373,3.7,6.025593791,22.70824077,0.020843431,0.120228573,11.7,1,1.2,26.2,2.5,24.84,67,1146,92,6.97,65,69,34,24
AMF,Homokaryon,I,414,2,414_2,9.770940767,5.1,14.87094077,1.915870739,2.057385192,-0.414285714,1.64309948,0.520425792,0.04392889,6.863889,0.072068962,9.239610568,0.15605259,27.866534,0.110633432,5.884757,6.386574239,7.8,5.615058233,18.75312686,0.1121237,0.03856447,8.3,0.8,1.2,31.1,2,11.34,58,512,107,6.46,95,29.33333333,1.333333333,6.666666667
AMF,Homokaryon,I,414,3,414_3,9.892057026,5.2,15.09205703,1.902318659,2.178501451,-0.314285714,1.86421574,0.506873712,0.107232431,17.579087,0.081028128,4.209394239,0.096990346,14.476171,0.105817952,5.317485,6.12430362,19.24935604,6.676942705,19.94976336,-0.010242085,0.024789824,9.3,0.7,0.9,24.9,1.6,15.5,51,534,98,5.37,58,50,28,27
AMF,Homokaryon,I,414,4,414_4,9.155720777,5.7,14.85572078,1.606266803,1.442165202,0.185714286,1.62787949,0.210821856,0.099265224,16.544204,0.132542103,6.056913427,0.109556083,8.559069,0.158237402,6.279262,5.95170702,21.88277991,12.79845297,25.18696113,0.010290859,0.025695299,9,0.9,1.4,32,1.9,15.7,46,665,80,5.3,62,64,4,12
AMF,Homokaryon,I,414,5,414_5,9.184401114,6.5,15.68440111,1.412984787,1.470845539,0.985714286,2.45655982,0.01753984,0.222898099,26.535488,0.247838321,9.745392071,0.065304484,4.732209,0.169374755,7.300636,8.448806452,25.43133401,13.83792491,23.22804655,-0.157593615,-0.078463566,9.6,0.8,1.2,30.3,1.2,7.97,24,376,65,4.38,47,76.82926829,14.63414634,21.95121951
AMF,Homokaryon,I,414,6,414_6,8.223802164,6.4,14.62380216,1.284969088,0.510246589,0.885714286,1.39596087,-0.110475859,0.248590775,33.593348,-0.142198867,-8.144880505,0.104955206,16.399251,0.316095428,12.064711,7.410181874,17.45868058,6.360136291,26.20699926,-0.143635569,0.458294295,6.8,0.7,0.9,28.1,1.4,8.85,50,527,72,4.6,169,81.39534884,24.41860465,33.72093023
AMF,Homokaryon,I,414,7,414_7,8.878616751,6.4,15.27861675,1.387283867,1.165061176,0.885714286,2.05077546,-0.00816108,0.166688155,28.739337,0.190627921,12.51840197,0.237453933,53.966803,0.135124762,7.037748,5.80989198,15.22781595,4.359016775,19.23881481,0.070765778,-0.055503159,7.9,0.7,1.2,30.9,1.1,8.66,27,369,83,4.13,43,18,0,4
AMF,Heterokaryon,I,A4,1,A4_1,9.893198091,6.18,16.07319809,1.600841115,2.179642516,0.665714286,2.8453568,0.205396168,0.021842347,4.044879,0.027379025,3.076294954,0.057466731,19.816114,0.17993826,6.790123,5.449482051,8.9,2.914066612,26.47759433,0.035624384,0.152559235,10.9,0.8,1.3,26.3,1.9,17.38,35,458,90,6.1,42,63.54166667,5.208333333,31.25
AMF,Heterokaryon,I,A4,2,A4_2,8.035984355,4.8,12.83598435,1.674163407,0.32242878,-0.714285714,-0.39185694,0.27871846,0.000932087,0.135085,0.018897518,2.746617479,0.01803709,4.194672,0.096590019,4.331391,6.932108014,6.880287575,4.262519925,22.25656525,0.017105003,0.077692501,13.5,1,1,27.2,2.1,19.66,33,897,105,7.52,70,50,13,19
AMF,Heterokaryon,I,A4,3,A4_3,10.6308096,6.5,17.1308096,1.635509168,2.917254025,0.985714286,3.90296831,0.240064221,0.277385879,40.792041,0.167520931,26.59062393,0.272502595,82.576544,0.278625947,12.722646,6.777069193,6.3,3.287770136,21.91101622,-0.004883284,0.111105016,14.5,1,0.9,30.8,1.4,12.06,42,404,114,5.39,56,33.70786517,2.247191011,9.302325581
AMF,Heterokaryon,I,A4,4,A4_4,8.504511278,7.7,16.20451128,1.104481984,0.790955703,2.185714286,2.97666999,-0.290962963,0.118902458,18.873406,-0.009138426,-0.416838694,0.062880689,14.623416,0.156020211,6.342285,6.348768352,21.92317117,4.273550597,24.56416242,-0.056021769,0.165158637,6.9,0.7,0.9,29.4,1.4,7.22,54,485,79,4.49,55,62,22,36
AMF,Heterokaryon,I,A4,5,A4_5,12.67764041,6.23,18.90764041,2.034934256,4.964084835,0.715714286,5.67979912,0.639489309,0.054179541,6.946095,0.031169084,4.155877839,0.124150262,28.872154,0.121124147,8.184064,7.818502763,7.5,4.334516978,14.83481656,0.069970721,0.089955063,7.6,0.9,1,31.6,1.3,5.6,64,330,164,5.82,92,39.58333333,6.25,9.375
AMF,Heterokaryon,I,A4,6,A4_6,10.59794669,3.9,14.49794669,2.717422227,2.884391115,-1.614285714,1.2701054,1.32197728,0.049505572,9.340674,0.006404561,0.359926272,0.091213931,12.001833,0.114801578,4.365079,5.29200995,17.79409165,7.645030242,26.30929282,0.041708359,0.108397017,10.9,1,1.2,29.3,2.4,19.15,86,700,96,6.8,58,59.03614458,7.228915663,18.07228916
AMF,Heterokaryon,I,A4,7,A4_7,9.074416191,4.2,13.27441619,2.160575284,1.360860616,-1.314285714,0.0465749,0.765130337,0.304066754,33.413929,0.289972013,50.14425075,0.086464646,21.088938,0.157071278,8.63029,9.132098213,5.782756912,4.104867517,18.21800558,-0.217602108,-0.132900735,11,0.8,1.2,23.6,2.1,18.12,25,898,91,5.13,48,59,7,34
AMF,Heterokaryon,VI,A5,1,A5_1,9.171515152,4.3,13.47151515,2.1329105,1.457959577,-1.214285714,0.24367386,0.737465553,0.057954436,11.827436,0.055890174,8.100025171,0.059673256,12.972447,0.072797135,3.293988,4.908966291,6.9,4.643889193,22.13482614,0.00171882,0.016906961,9.8,0.9,0.8,30.9,1.4,10.21,47,411,123,5.48,103,56.52173913,17.39130435,26.08695652
AMF,Heterokaryon,VI,A5,2,A5_2,7.803534402,5.2,13.0035344,1.500679693,0.089978827,-0.314285714,-0.22430689,0.105234746,0.071506957,13.242029,0.070963973,15.76977171,0.360532187,54.626089,0.134752678,6.042721,5.403591124,4.5,6.591635351,22.32634727,0.28902523,0.063788705,10.2,0.8,1.2,27.9,1.8,17.25,29,603,73,4.69,55,67,10,29
